Date,Close,Open,High,Low,Vol.,Change %,LogRet
2018-10-26,1826.37,"1,849.90","1,851.40","1,803.59",-,-1.31%,-0.013217345344549436
2018-10-29,1813.68,"1,826.63","1,852.14","1,795.16",-,-0.69%,-0.006972459944522669
2018-10-30,1826.98,"1,816.01","1,828.45","1,804.21",-,0.73%,0.007306400030016036
2018-10-31,1855.96,"1,827.78","1,865.71","1,827.60",-,1.59%,0.015737751979176373
2018-11-01,1872.22,"1,858.41","1,872.73","1,856.30",-,0.88%,0.008722810110197265
2018-11-02,1859.61,"1,871.21","1,880.86","1,849.52",-,-0.67%,-0.006758104197454706
2018-11-05,1864.6,"1,858.38","1,866.28","1,853.93",-,0.27%,0.00267976456008423
2018-11-06,1869.4,"1,865.27","1,872.04","1,860.57",-,0.26%,0.002570970885889423
2018-11-07,1907.6,"1,871.31","1,908.13","1,869.83",-,2.04%,0.02022838367558677
2018-11-08,1903.32,"1,908.39","1,912.07","1,897.48",-,-0.22%,-0.0022461777206004285
2018-11-09,1886.93,"1,902.86","1,903.05","1,880.03",-,-0.86%,-0.008648559942438183
2018-11-12,1850.61,"1,885.28","1,887.95","1,849.72",-,-1.92%,-0.019435855307831318
2018-11-13,1851.71,"1,849.48","1,868.73","1,847.55",-,0.06%,0.0005942220188241976
2018-11-14,1837.31,"1,852.02","1,863.88","1,830.06",-,-0.78%,-0.007806991091865889
2018-11-15,1849.98,"1,837.26","1,853.13","1,818.31",-,0.69%,0.006872282822964593
2018-11-16,1859.13,"1,849.56","1,863.25","1,842.83",-,0.49%,0.004933808143258389
2018-11-19,1837.64,"1,858.24","1,863.48","1,833.63",-,-1.16%,-0.011626496685545717
2018-11-20,1804.52,"1,836.96","1,837.64","1,798.52",-,-1.80%,-0.01818751123680773
2018-11-21,1810.8,"1,803.52","1,821.34","1,803.52",-,0.35%,0.003474108137775822
2018-11-22,1807.81,"1,811.72","1,812.45","1,807.21",-,-0.17%,-0.0016525686274393436
2018-11-23,1794.02,"1,807.70","1,808.73","1,793.80",-,-0.76%,-0.007657256105746413
2018-11-26,1821.17,"1,793.89","1,821.38","1,793.89",-,1.51%,0.015020239840941585
2018-11-27,1822.12,"1,823.25","1,823.25","1,807.29",-,0.05%,0.0005215066720083428
2018-11-28,1858.39,"1,821.97","1,858.48","1,821.59",-,1.99%,0.019709863127274296
2018-11-29,1857.22,"1,859.78","1,864.15","1,849.60",-,-0.06%,-0.0006297754816406709
2018-11-30,1863.81,"1,857.02","1,863.94","1,851.07",-,0.35%,0.003542033732512273
2018-12-03,1888.52,"1,868.39","1,895.69","1,868.28",-,1.33%,0.013170673792394005
2018-12-04,1843.9,"1,887.52","1,889.36","1,842.65",-,-2.36%,-0.02391055980098855
2018-12-05,1834.62,"1,841.36","1,842.17","1,834.35",-,-0.50%,-0.005045518136062022
2018-12-06,1817.85,"1,833.02","1,833.18","1,784.06",-,-0.91%,-0.009182891492450551
2018-12-07,1793.52,"1,818.15","1,833.51","1,790.16",-,-1.34%,-0.013474314792461861
2018-12-10,1785.3,"1,792.72","1,793.14","1,759.45",-,-0.46%,-0.004593700971228465
2018-12-11,1791.4,"1,785.80","1,811.98","1,783.63",-,0.34%,0.003410968722179497
2018-12-12,1808.19,"1,793.65","1,825.45","1,792.67",-,0.94%,0.009328907885192805
2018-12-13,1814.28,"1,808.66","1,824.42","1,807.73",-,0.34%,0.0033623498538215557
2018-12-14,1777.19,"1,812.11","1,812.14","1,774.72",-,-2.04%,-0.020655229562906108
2018-12-17,1749.74,"1,777.90","1,779.64","1,742.41",-,-1.54%,-0.015566259766043089
2018-12-18,1747.18,"1,748.85","1,759.53","1,738.46",-,-0.15%,-0.0014641458525375128
2018-12-19,1729.88,"1,747.72","1,767.74","1,721.48",-,-0.99%,-0.009951017674453055
2018-12-20,1708.46,"1,728.40","1,730.49","1,698.68",-,-1.24%,-0.012459661992911819
2018-12-21,1680.37,"1,706.21","1,722.28","1,676.66",-,-1.64%,-0.016578372687564347
2018-12-24,1651.5,"1,682.19","1,682.42","1,650.94",-,-1.72%,-0.01733004141284944
2018-12-25,1648.13,"1,648.45","1,648.91","1,647.95",-,-0.20%,-0.002042653977420983
2018-12-26,1700.42,"1,647.32","1,700.48","1,646.44",-,3.17%,0.031233967500408077
2018-12-27,1704.36,"1,704.98","1,707.44","1,663.24",-,0.23%,0.0023143943272057044
2018-12-28,1715.91,"1,705.74","1,731.67","1,705.44",-,0.68%,0.006753878439002214
2018-12-31,1727.08,"1,715.29","1,730.31","1,715.04",-,0.65%,0.006488569057405691
2019-01-01,1727.13,"1,727.13","1,727.13","1,727.13",-,0.00%,2.895017963755464e-05
2019-01-02,1727.55,"1,726.77","1,730.95","1,700.55",-,0.02%,0.00024314842594375108
2019-01-03,1691.98,"1,728.02","1,729.38","1,690.66",-,-2.06%,-0.020804779017687736
2019-01-04,1742.42,"1,689.91","1,744.51","1,689.91",-,2.98%,0.029375510768050006
2019-01-07,1750.42,"1,747.13","1,756.64","1,738.03",-,0.46%,0.00458080758877788
2019-01-08,1760.98,"1,750.14","1,768.00","1,749.04",-,0.60%,0.006014713126127447
2019-01-09,1772.34,"1,763.36","1,777.40","1,763.12",-,0.65%,0.006430235100514103
2019-01-10,1773.33,"1,772.41","1,773.95","1,758.49",-,0.06%,0.0005584276177579284
2019-01-11,1770.05,"1,776.02","1,779.11","1,761.84",-,-0.18%,-0.0018513402101048015
2019-01-14,1759.12,"1,770.23","1,770.49","1,753.35",-,-0.62%,-0.006194110765946448
2019-01-15,1779.76,"1,760.81","1,780.27","1,757.61",-,1.17%,0.011664839744363498
2019-01-16,1780.68,"1,779.27","1,786.81","1,776.27",-,0.05%,0.0005167900711571249
2019-01-17,1788.34,"1,780.28","1,792.76","1,773.26",-,0.43%,0.004292501449501884
2019-01-18,1807.38,"1,788.80","1,811.25","1,788.31",-,1.06%,0.010590467531972791
2019-01-21,1807.34,"1,808.51","1,808.99","1,805.91",-,-0.00%,-2.2131728046659305e-05
2019-01-22,1782.99,"1,805.68","1,806.10","1,775.29",-,-1.35%,-0.013564420737008476
2019-01-23,1788.92,"1,782.39","1,795.63","1,777.01",-,0.33%,0.003320355467001157
2019-01-24,1786.12,"1,789.66","1,789.95","1,777.14",-,-0.16%,-0.0015664163603883452
